,0
DA1,10876.3427583527
VC5,18406.44718292887
VA1v,10556.91256488738
VA1d,6903.717138385297
VA2,5633.8587815080555
VA6,6139.308150053055
DL3,2652.090835385512
DM1,11114.25483447407
DL1,6268.062081135155
VL2a,8162.5838650368105
VM4,3364.322987123451
VM5d,4192.955105955007
DM2,3875.5093339038967
VL1,9943.961645993875
DM3,2391.5373659737506
DM4,8315.167808426857
DM6,3514.820811655509
DL4,1476.7653504939813
VC3l,7081.2109522883275
DC3,6433.030469411043
VM7d,3738.364474813571
V,10942.776289231291
VM1,1162.8471535760325
VC3m,1975.355660775496
VL2p,10167.431702774595
D,5290.867113874381
DL5,3521.575920919713
DC1,6490.692328069444
VM5v,4453.984677369969
DP1m,14951.936123164796
DA3,842.0933633585302
VC4,3970.566619739289
DA2,2075.727880756562
VA7m,2951.9840011538754
VA3,4920.144616757911
DC4,8110.386543204786
DP1l,10868.21863396884
VC2,5751.142743146531
VA4,3468.6075962107557
DC2,6441.458572566333
VM7v,5125.1019086071765
DL2v,6215.760558023269
DM5,810.3519344106361
VM3,1227.725236617205
VC1,5930.039129176572
VA5,3945.5575062686385
DL2d,3940.4394919720853
VA7l,1630.7042335844194
DA4l,408.4270511692002
DA4m,292.0543645744561
VM2,14.173027889082347
